Nombre,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,Saturacion_Mes
dn_Canas2_d03_2_0_Bandwidth+OUT_percent,11.79,17.43,19.46,14.25,14,13.69,15.67,19.85,11.18,9.26,12.65,19.83,11.85,14.71,14.58,11.75,14.84,18.53,21.66,20.91,17.15,24,22.12,22.25,21.15,20.15,21.48,30.31,17.97,0
dn_Canas2_d03_2_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Canas2_d03_2_1_Bandwidth+OUT_percent,26.19,29.57,19.31,25.4,25.95,30.31,21.6,18.47,15.23,22.5,17.18,17.9,29.11,26.38,18.97,32.13,17.53,16.74,22.17,23.87,24.39,16.61,17.71,25.46,16.17,18.89,22.68,20.5,17.62,0
dn_Canas2_d03_3_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Canas2_d03_3_0_Bandwidth+OUT_percent,1.91,1.8,1.97,1.62,2.18,1.87,5.5,1.7,1.69,1.56,1.56,1.82,1.57,1.96,1.62,2.18,1.6,1.56,1.62,1.61,1.99,1.56,1.64,1.56,1.61,1.68,2.42,1.78,1.92,0
dn_Canas2_d03_3_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Canas2_d03_3_1_Bandwidth+OUT_percent,1.96,1.81,1.99,1.61,2.18,1.86,5.66,1.79,1.68,1.55,1.56,1.79,1.57,1.85,1.61,2.1,1.61,1.56,1.61,1.63,1.99,1.58,1.63,1.57,1.61,1.67,2.46,1.81,1.93,0
dn_Canas_d0_0_0_Bandwidth+OUT_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Canas_d0_1_0_Bandwidth+OUT_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Canas_d0_2_0_Bandwidth+OUT_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Canas_d0_3_0_Bandwidth+OUT_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Canas_d3_0_0_Bandwidth+OUT_percent,25.67,23.42,24.93,26.07,22.97,22.93,24.98,22.27,22.7,24.49,26.95,28.5,28.92,29.62,26.81,22.8,24.15,28.55,23.87,22.82,26.39,30.48,26.81,25.01,30.04,27.53,29.36,26.39,35.76,0
dn_Canas_d3_0_1_Bandwidth+OUT_percent,30.69,25.92,26.27,27.27,23.94,25.36,25.77,24.44,25.3,26.19,27.95,30.22,30.08,30.42,27.39,24.89,24.86,29.58,25.29,23.97,27.21,31.29,28.79,26.82,30.81,30.72,31.3,28.62,36.91,0
dn_Canas_d3_1_0_Bandwidth+OUT_percent,32.67,26.42,26.6,28.26,25.29,27.09,26.39,26.56,27.91,27.12,32.26,30.66,30.45,32.1,28.36,26.14,26.68,30.11,27.65,24.27,26.83,32.28,30.08,27.45,31.52,31.12,32.27,28.89,31.87,0
dn_Canas_d3_1_1_Bandwidth+OUT_percent,29.7,26.32,25.46,28.53,24.94,25.73,26.24,24.82,25.79,26.86,32.56,30.54,30.63,33.24,28.36,25.55,26.08,29.8,27.24,24.74,27.24,31.76,30,27.68,31.04,29.16,32.8,27.89,31.3,0
dn_Canas_d3_2_0_Bandwidth+OUT_percent,29.08,23.73,24.48,26.19,25.05,25.84,25.54,25.56,26.86,26.25,27.89,28.91,29.34,30.95,27.85,25.23,25.74,27.91,26.81,24.96,26.88,27.67,31.75,33.74,27.8,32.28,34.06,28.66,32.32,0
dn_Canas_d3_2_1_Bandwidth+OUT_percent,30.61,24.13,24.86,24.83,25.39,25.09,25.44,25.03,25.82,26.14,31.94,29.65,29.74,31.43,27.54,24.54,25.92,28.69,27.12,24.99,26.69,26.91,32.59,33.48,27.72,32.08,33.48,28.84,32.58,0
dn_Canas_d3_3_0_Bandwidth+OUT_percent,28.84,24.4,25.49,25.83,25.71,26.3,26.25,26.04,26.12,25.54,31.46,29.74,33.03,30.06,27.82,24.52,26.18,28.9,26.44,24.5,27.88,26.23,32.68,33.7,27.8,31.09,33.44,28.72,36.71,0
dn_Canas_d3_3_1_Bandwidth+OUT_percent,28.02,23.27,25.83,24.45,24.3,25.46,25.59,26.67,27.67,25.39,32.74,30.04,33.98,30.92,27.82,24.62,25.56,28.85,26.18,24.51,27.63,26.05,31.87,33.9,27.14,31.3,32.77,28.62,36.34,0
dn_Cartago_d0_0_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d0_0_0_Bandwidth+OUT_percent,80.36,73.19,71.89,69.76,74.4,66.9,67.6,72.18,70.44,72.49,77.73,76.24,79.91,74.03,67.51,67.28,69.04,66.96,76.64,83.96,79.92,70.98,84.26,79.67,61.02,80.54,68.35,67.83,65.99,0
dn_Cartago_d0_0_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d0_0_1_Bandwidth+OUT_percent,80.46,73.69,72.17,69.67,73.95,66.29,66.24,72.12,71.6,75.54,77.72,77.27,79.89,69.55,65.68,69.47,67.8,65.06,78.15,83.03,80.43,69.88,85.85,78.92,61.65,79.17,72.28,68.71,63.42,0
dn_Cartago_d0_1_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d0_1_0_Bandwidth+OUT_percent,62.11,54.15,53.85,52.45,56.86,65.82,55.89,56.78,47.13,60.43,62.85,59.08,63.48,61.75,59.7,62.65,61.59,59.89,50.13,55.68,66.83,66.36,60.53,61.02,64.52,62.15,68.5,58.38,55.85,0
dn_Cartago_d0_1_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d0_1_1_Bandwidth+OUT_percent,58.53,53.55,52.68,53.3,55.29,66.89,55.18,56.2,48.56,58.93,59.82,60.89,60.77,58.96,59.89,63.07,59.94,58.87,50.02,56.63,68.77,64.2,62.13,59.8,64.46,62.13,68.43,58.63,55.77,0
dn_Cartago_d0_2_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d0_2_0_Bandwidth+OUT_percent,47.62,50.44,48.87,50.58,51.67,45.25,53.04,50.19,47.47,41.31,48.55,47.44,52.54,44.14,48.49,50.99,46.39,53.79,44.98,56.26,49.55,51.89,62.23,52.57,51.07,56.63,58.91,55.05,53.8,0
dn_Cartago_d0_2_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d0_2_1_Bandwidth+OUT_percent,48.93,51.09,49.57,50.69,50.4,46.06,54.03,49.94,47.8,41.15,47.83,48.81,54.83,44.84,48.89,51.17,46.94,53.02,45.01,56.38,50.8,53.89,62.51,54.83,51.65,56.1,58.96,52.42,54.18,0
dn_Cartago_d0_3_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d0_3_0_Bandwidth+OUT_percent,75.8,83.44,80.8,83.69,69.28,70.68,72.44,81.08,76.59,73.37,80.51,91.35,82.9,80.13,78.79,80.82,82.86,83.69,77.87,86.36,86.09,90.37,81.12,84.96,80.62,88.97,91.27,88.06,83.83,1
dn_Cartago_d0_3_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d0_3_1_Bandwidth+OUT_percent,75.41,82.42,80.71,84.42,71.74,71.54,72.3,81.14,76.98,72.5,80.5,89.81,83.99,78.8,78.61,81.07,85.64,84.48,75.75,81.93,82.08,91.24,81.35,84.55,81.46,89.25,91.22,88.04,83.93,1
dn_Cartago_d0_4_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d0_4_0_Bandwidth+OUT_percent,47.44,51.38,41.46,49.87,44.22,43.63,46.22,45.62,37.4,45.84,43,43.31,46.26,47.06,36.28,48.35,45.39,46.58,41.31,56.7,49.25,55.88,55.31,42.74,41.33,60.93,45.31,50.86,49.16,0
dn_Cartago_d0_4_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d0_4_1_Bandwidth+OUT_percent,46.63,52.3,43.4,49.85,43.12,43.44,45.84,44.86,37.27,46.5,43.4,43.89,45.98,45.61,36.07,46.83,45.92,46.16,41.17,59.41,47.6,54.22,55.65,43.03,42.24,59.56,44.98,51.63,49.25,0
dn_Cartago_d0_5_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d0_5_0_Bandwidth+OUT_percent,77.96,67.27,78.44,77.14,68.83,78.35,70.04,66.42,70.42,80.93,78.16,77.52,80.63,73.87,72.01,74.78,75.92,74.38,69.51,76.49,76.37,75.11,80.02,86.93,85.88,81.99,74.69,80.55,72.52,0
dn_Cartago_d0_5_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d0_5_1_Bandwidth+OUT_percent,77.86,68.03,76,76.92,67.81,77.28,69.53,65.46,69.09,80.91,78.05,77.85,80.86,74.04,72.63,71.59,76.35,74.29,70.94,77.06,75.54,75.14,79.53,86.79,85.88,81.69,74.7,80.52,73.27,0
dn_Cartago_d0_6_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d0_6_0_Bandwidth+OUT_percent,78.73,74.23,75.34,81.18,80.4,73.14,74.29,69.98,74.55,75.8,79.92,82.6,81.51,74.82,77.44,78.49,84.4,82.87,78.93,82.18,81.9,79.61,76.12,86.38,77.56,84.86,80.02,78.29,74.44,0
dn_Cartago_d0_6_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d0_6_1_Bandwidth+OUT_percent,79.99,80.13,75.54,79.59,82.31,72.89,72.21,69.02,73.17,75.8,80.07,83.62,81.45,73.54,77.89,76.94,85.03,83.04,77.26,80.56,81.71,79.63,77.55,85.52,77.5,85.23,79.79,78.41,74.62,0
dn_Cartago_d0_7_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d0_7_0_Bandwidth+OUT_percent,87,82.38,81.41,82.84,78.58,80.89,78.48,82.42,79.32,84.31,90.55,86.36,88.06,92.13,77.52,79,84.79,79.47,71.59,91.38,80.97,85.52,91.46,82.89,89.23,90.4,86.66,87.69,85.78,1
dn_Cartago_d0_7_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d0_7_1_Bandwidth+OUT_percent,87.08,85.14,82.7,83.16,78.51,82.65,80.22,83.05,80.27,82.64,88.99,86.31,87.38,91.83,77.39,79.86,85.4,79.66,71.21,90.88,81.71,86.5,89.5,81.65,89.91,91.17,86.88,87.57,85.45,1
dn_Cartago_d1_0_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d1_0_0_Bandwidth+OUT_percent,79.26,81.27,78.74,84.29,78.88,78.64,76.76,80.55,75.62,79.3,83.4,77.54,74.72,81.16,77.19,84.44,78.45,87.95,72.64,84.74,81.79,79.81,84.5,80.68,80.47,82.95,78.82,79.47,78.72,1
dn_Cartago_d1_0_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d1_0_1_Bandwidth+OUT_percent,79.13,82.06,78.89,85.61,79.05,78.68,76.79,81.17,75.97,80.91,83.52,77.75,74.71,80.72,78.62,86.49,78.55,87.97,77.37,85.23,82.09,80.14,84.81,83.93,80.53,82.95,78.73,79.02,78.78,1
dn_Cartago_d1_1_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d1_1_0_Bandwidth+OUT_percent,34.88,30.08,31.09,33.53,31.23,32.91,30.43,28.39,32.01,41.5,35.56,33.44,38.73,46.8,30,36.63,34.09,30.05,31.37,33.65,40.44,36.04,36.48,39.41,35.84,34.87,38.1,42.95,47.57,0
dn_Cartago_d1_1_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d1_1_1_Bandwidth+OUT_percent,35.4,28.97,32.01,30.35,30.79,33.01,30.93,28.36,32.06,40.55,34.98,35.66,39.29,45.78,31.09,37.83,35.12,30.51,31.81,33.31,40.86,36.84,35.83,39.49,37.33,35.25,38,43.06,47.62,0
dn_Cartago_d1_2_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d1_2_0_Bandwidth+OUT_percent,68.14,61.01,68.42,71.5,62.7,61.17,70.06,64.15,68.54,61.89,67.88,65.16,68.92,60.14,72.3,70.61,63.75,76.32,56.97,61.22,60.36,66.33,60.79,79.12,68.29,61.14,67.87,63.51,56.58,0
dn_Cartago_d1_2_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d1_2_1_Bandwidth+OUT_percent,68.24,61.35,69.94,71.44,61.93,61.16,67.08,64.68,69.21,62.7,67.92,64.26,67.03,58.13,72.21,70.13,63.89,77.29,57.85,62.08,61.75,68.43,60.13,79.11,68.78,62.03,68.47,68.78,57.04,0
dn_Cartago_d1_3_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d1_3_0_Bandwidth+OUT_percent,78.26,78.15,70.56,75.87,65.19,72.91,72.01,72.2,72.15,72.49,77.98,78.39,70.14,72.53,66.91,72.73,75.03,74.72,64.3,78.02,79.12,80.49,76.3,78.37,78.03,73.37,76.08,78.98,85.93,0
dn_Cartago_d1_3_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d1_3_1_Bandwidth+OUT_percent,79.29,77.64,70.65,77.82,66.83,74.36,74.22,73.28,72.4,74.07,79.85,79.89,70.23,72.03,66.24,73.52,76.28,74.67,66.12,77.13,79.11,78.31,76.03,79.93,76.68,72.68,75.44,80.06,85.93,0
dn_Cartago_d1_4_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d1_4_0_Bandwidth+OUT_percent,50,38.22,38.27,41.44,44.88,42.31,46.02,41.88,43.07,46.33,54.55,45.35,46.32,45.76,44.93,44.88,40.65,46.16,41.28,50.26,52.1,52.29,55.93,55.32,51.31,51.27,52.88,46.51,50.85,0
dn_Cartago_d1_4_1_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dn_Cartago_d1_4_1_Bandwidth+OUT_percent,51.07,38.11,38.94,40.62,43.95,40.98,46.13,40.44,42.93,46.82,48.38,43.82,44.99,48.12,46.14,44.39,40.61,46.15,41.88,51.15,56.59,54.58,54.62,54.22,50.84,53.75,53.08,45.34,51.5,0
dn_Cartago_d1_5_0_Bandwidth+IN_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
